route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
7154,1,MARC,PENN - WASHINGTON,,2,,FF8000,FFFFFF
7155,1,MARC,CAMDEN - WASHINGTON,,2,,FF8000,FFFFFF
7479,1,305,COLUMBIA & SILVER SPRING - DC,,3,,A6CAF0,000000
7156,1,310,COLUMBIA - BALTIMORE,,3,,A6CAF0,000000
7480,1,315,COLUMBIA & SILVER SPRING - DC,,3,,A6CAF0,000000
7157,1,320,LAUREL - BALTIMORE,,3,,A6CAF0,000000
7481,1,325,COLUMBIA & SILVER SPRING - DC,,3,,A6CAF0,000000
7477,1,335,CLARKSVILLE & COLUMBIA - DC,,3,,A6CAF0,000000
7478,1,345,ELLICOTT CITY & COLUMBIA - DC,,3,,A6CAF0,000000
7158,1,410,CHURCHVILLE BALTIMORE,,3,,A6CAF0,000000
7159,1,411,HICKORY TO HOPKINS HOSP,,3,,A6CAF0,000000
7160,1,420,HAVRE DE GRACE - HOPKINS,,3,,A6CAF0,000000
7497,1,505,HAGERSTOWN-SHADY GROVE/ROCK SPRING,,3,,A6CAF0,000000
7498,1,515,FREDERICK - SHADY GROVE/ROCK SPRING,,3,,A6CAF0,000000
7161,1,610,WALDORF - WASHINGTON DC,,3,,A6CAF0,000000
7162,1,620,WALDORF - WASHINGTON DC,,3,,A6CAF0,000000
7163,1,630,LA PLATA/WALDORF - WASHINGTON DC,,3,,A6CAF0,000000
7164,1,640,WALDORF & ACCOKEEK - WASHINGTON DC,,3,,A6CAF0,000000
7165,1,64X,NORTH AVE - RIVIERA BEACH EXPRESS,,3,,FF0000,FFFFFF
7166,1,650,"LA PLATA, WALDORF & ACCOKEEK - DC",,3,,A6CAF0,000000
7499,1,705,CHARLOTTE HALL/WALDORF -  DC,,3,,A6CAF0,000000
7500,1,715,CHARLOTTE HALL/WALDORF - DC,,3,,A6CAF0,000000
7501,1,725,CALIFORNIA/CHARLOTTE HALL - DC,,3,,A6CAF0,000000
7502,1,735,CHARLOTTE HALL/WALDORF - DC,,3,,A6CAF0,000000
7167,1,902,ST LEONARD - WASHINGTON DC,,3,,A6CAF0,000000
7169,1,904,NORTH BEACH WASHINGTON DC,,3,,A6CAF0,000000
WS,MTA OLTS,,Baltimore - Grantsville,"Service operated by Bayrunner Shuttle. For additional information, please call 1-855-229-7867",3,http://www.bayrunnershuttle.com/west/default.asp,,
CS,MTA OLTS,,Baltimore - Wilmington_DE,"Service operated by Greyhound Lines, Inc. For additional information, please call 1-800-231-2222",3,http://www.greyhound.com,,
ES,MTA OLTS,,Baltimore - Ocean City,"Service operated by Greyhound Lines, Inc. For additional information, please call 1-800-231-2222",3,http://www.greyhound.com,,
